address,balance_planck,balance_xcdot
0x0158ab03167615128a3607ebad5a29e6be3d6161,97321606,0.0097321606
0x0160e979decb13eca3ad18045df76e3668ba4211,321179338,0.0321179338
0x0167f84d05f56012e8162f0055bb0a184ada8e50,74089948,0.0074089948
0x0169f84ca058f2f858ba9b9d3508a73bb7f66fd6,2241645385,0.2241645385
0x01710ab61cb036c069edc680658ec2936cfbc61e,24378341,0.0024378341
0x0174de7150155dd2bbf32ea9bc96e3242c69435f,177042238,0.0177042238
0x0177e1b290a1acf807a74e1a4f8f6d63961bae81,85831334,0.0085831334
0x0178e8dd13699649d8e61462e8c9fb6a06773149,986114679,0.0986114679
0x01793896b811a56c6c2d195cf496d2dfbc8d9520,935893944,0.0935893944
0x018419b6f88561ef5f31cd36a437d390d310ce77,381248045,0.0381248045
0x0186e7384c023fa987da5b6ef9308e872f5937ea,186114679,0.0186114679
0x018700c99752c27149010208cd2f81e048957c49,86417,0.0000086417
0x01871560f6db1805bceb99fade4710e6cf359a8c,317839734381,31.7839734381
0x018838da8263019497b08f15fad4f94232c0f3a8,12754028116,1.2754028116
0x018c97f6207b702a8321f6550839efee4e82bf3a,5683085909,0.5683085909
0x0198ea630d3b1ea2f4f20d672fa860d5f904c233,61142282837,6.1142282837
0x019cb55785c05c5a3c2d09c5090c9bc98070cc0b,11702726824,1.1702726824
0x019df0b62bf06cd0685e71f18e1edf46cf6cd9d4,8973544974,0.8973544974
0x019effc77f1122ac3c76cad98e5f814640ee91d6,682746649,0.0682746649
0x019f0e5d35a19c7059fe5a56ca09e9071d050d23,49011062837,4.9011062837
0x01a3b3cc4d30428c7f9e91dc2731026800c3aa03,532708,0.0000532708
0x01a44c60af90c735c0e36d88f02f2e2c17932408,4,0.0000000004
0x01a84a90a78a9040b165da41d422e28cea41d0f3,1838,0.0000001838
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,1990971816,0.1990971816
0x01b8982cd001fa208213da263db6842d6dc7fdb0,11816,0.0000011816
0x01bb75e30cc35579ee9d7ef65bd4f721cc1c5413,52098,0.0000052098
0x01bf199869288f182cc454a86ba9e36a632e3986,98902784,0.0098902784
0x01ca981fc89358fa3ee06d32c7bc9896bf4d2043,12195579655,1.2195579655
0x01cbe2f59f9199e02d941422aa0ed91b6ad7113d,4973544974,0.4973544974
0x01de494230b03989f9a2d8956fdfe5486d712ebf,999748,0.0000999748
0x01e7ab5edb93847c163986d494e08134f4addf06,92689,0.0000092689
0x01e8b317c8231156b9df841526fe34f32206c98f,758,0.0000000758
0x01ee8d89bb4feb0205d86067f5f9dd1a44f5c356,19696424,0.0019696424
0x01eeef4d5f9a0013767cbd42c5fed68982210403,9,0.0000000009
0x020c14ca2edeebfd8b93e79850626d8e05485248,92698437,0.0092698437
0x0211c3645467a3881f7fe109ca4a7329947465a3,85799267,0.0085799267
0x02156fd93114150fb346d11ed7e29c728940e0f7,1485608023526,148.5608023526
0x021edd5b630883447d5ceda36ee058844db3ad3d,22556266656,2.2556266656
0x0223342313efd75dfb5e1ac1efe7e3aeb9141dfa,6945,0.0000006945
0x0227c302ad93a8838f968e88eda01cfe3c555f00,2828312671,0.2828312671
0x022c2a4d50edfd1724995cbed32e77c79302a205,8,0.0000000008
0x022f5ca0fbe7c617f6040f93404136b9ae5c61ae,39990971816,3.9990971816
0x023c1a01108c35b72852a5cd4e0bb5123da9657e,54898,0.0000054898
0x023f0908a7feddacd6614896850d8db7dd11af33,90971816,0.0090971816
0x02401504ebce52234d84789cc381aba6dfa66813,468077750,0.046807775
0x024713784f675dd28b5ce07db91a4d47213c2394,679806,0.0000679806
0x024a25627eb5b03d8288afd0b1dd3285e3593f72,599478,0.0000599478
0x024ea94388e26811eb0fc4b60b8901b3789fcec5,599479,0.0000599479
0x02502ac67ebfeb9744cb7a409d749a1f73037f88,619275281,0.0619275281
0x0250310bc5c3517b94fdc1347b12bd8fa350c81a,9973544974,0.9973544974
0x025042d3852c4cd8b369bbf30aaf53f08de655a8,29991369684,2.9991369684
0x02570079b1c0e0713ee8c1f546abf75d74ea5cb7,2053079,0.0002053079
0x025a1f71f0af53d089a90fe15acabe6548f1f45d,39990971816,3.9990971816
0x02841908d2d747607b2af1e7f4ab260d024d7d80,69882499611,6.9882499611
0x028a1716132da18e1e040b93c9af6f6dcdd90346,1881943632,0.1881943632
0x029290c564ef921c56a784aa16c97e930daf7372,10000000000,1
0x0293adc2e84558010a90f888d08ba35eecbcce6c,7,0.0000000007
0x029c842339e617c5f24dbbfc72282d8451342893,94606239,0.0094606239
0x029f9ac71c592601f3e638fb81d7f500db05535c,5034917404,0.5034917404
0x02a490ab5aa417169459c6db3b0727a029b4330f,95787867,0.0095787867
0x02a64bc9f444da3d9c18a6bafd2497651e2bf537,281943632,0.0281943632
0x02af867ab593ffb436e9102eec9b1ca5a693620a,11062837,0.0011062837
0x02b1dc15472c9a24345c67d9b79e3c08a54ff82f,93542215,0.0093542215
0x02b232bf0e3af277a6917fd41eb35bd8fb001b97,15244654957,1.5244654957
0x02b8c0d23bb25fed542faeb76f616b1816166bf9,94713670,0.009471367
0x02bacc4bdd21abac0c3126a8cb19534c2a2edac1,9346717009,0.9346717009
0x02bc449b248f5c81b5a748db0b45402cd5ffa6b2,1390971816,0.1390971816
0x02cc08b5062a1091f1067264bef8bf9ef3863e9a,494242,0.0000494242
0x02cecdc5ade07035230875b848711371a1eeada7,94713700,0.00947137
0x02d4319c736fb962a6b51b8d05149ce473548cd1,651565993,0.0651565993
0x02d8dec06bf39e2beb13aa12206e6d419b074833,381276656,0.0381276656
0x02e2f56354cab9488aee661b8cc5a42643f7530b,81272036,0.0081272036
0x02e7f65e93b4730c3092412e3db85648797316f9,99977133301,9.9977133301
0x02e85fe3207ce910f007b5cea4310b9233053ed6,84704568830,8.470456883
0x02ea5d3c79a6d8c7f648b2221249c10391c83338,95740472,0.0095740472
0x02f3bdd9dfbb9c7c0f9f0d4ee58502aca2c87537,5,0.0000000005
0x02f6b2671faddb9041283fa180eca74a5fda3dc8,3,0.0000000003
0x02f74ac976e271e7702d8734da124798596c61d8,9581,0.0000009581
0x02f86a8783152f5f048afc57b5a2afb5529ee745,20040527125,2.0040527125
0x02faefb2383edeb4b622bab7be500889d9eaee32,93026161,0.0093026161
0x02fc1bfd3af36ab94136517f2cb7aa4133b4c411,10855617722,1.0855617722
0x02ffd447c4d8f39fb4c96375afe1df9d6033b4e7,10000000000,1
0x030c49595a1e834f2b384b8532b2d25925593036,13064233744,1.3064233744
0x03193d26a1c7b58e81f29c68a5a3067201758e5c,96691721,0.0096691721
0x032d12e0058a7da898c86c3c203b96f3840a1569,8077,0.0000008077
0x032d46936d9a510337e197cfd628eba64ed000d2,977474380,0.097747438
0x0337a14b3f5f120338b60fdce495f0ce8ee9648d,1,0.0000000001
0x033842c9c2bab28215ffe34df438005876412a6c,64776203,0.0064776203
0x03389fc274552c6323bb4fcf7135a5e66f649060,971816,0.0000971816
0x033a443163d482ea6f95e984335aae46045f4452,4080,0.000000408
0x033c18e4bfd79d5849abc7cedeafd79e115b953e,564017987646,56.4017987646
0x0341593f631cffebc4b8bcbafa5be4cde32c8fdf,7,0.0000000007
0x03416184eff9ff6ca3292ad1fefa2e5496ec87dd,55002233906,5.5002233906
0x0341ab2d783648be716fa78a48eedf13f151335e,1,0.0000000001
0x0344c4f9985c85877d284bea8ea3df13498af96c,7,0.0000000007
0x03615a94a3d4fb357fd27a3871106ff6046c50d6,4,0.0000000004
0x03665aa7ea9035a13d6569c6093e21fd16c11c7d,50977305754,5.0977305754
0x0367c034869f5cfb07f388951777fc7d7ff4ee7a,95787603,0.0095787603
0x0368375593098ea48f516790bb6c8d43408f5762,865446,0.0000865446
0x036fc4b0f16b3b00b198ae006b859f68dbb941d4,466550397,0.0466550397
0x03783185c26ae8a8393d57c96eebf7bf5c68df49,93768147,0.0093768147
0x038086f7310733ff39874b3193a9f032382faf51,90971816,0.0090971816
0x038d60593b3bc7d384f28e65afadccfb92166559,41437554830,4.143755483
0x039ae8506621a8edb50967e15615ed5e433c4cd4,44246637,0.0044246637
0x039ca0565005f06171f2b4ca43d6154762ae781e,5369098196,0.5369098196
0x039eb68e7eee5f0d19e3986ec5434fc8136154be,5,0.0000000005
0x03a089cffab9e8719d3f40deccb88b3f42334bc9,7,0.0000000007
0x03aacc6accfa2121e3658e3949019078835b462a,90971816,0.0090971816
0x03ab0fb0be318b1d6420e7ae87a7e1b7cd6d590f,12911062837,1.2911062837
0x03accba12857117d93ae1e192e593fa7f6ebd7a8,599445,0.0000599445
0x03b8ca8da326cfaac5ec9b2c7e2a3fc6973f1f99,49986114679,4.9986114679
0x03ba7c94ea3ff9f5556c43bc4b834df567d4930e,438023,0.0000438023
0x03bd52f8c34bfa86dc861a22c5fc81e96d336058,7,0.0000000007
0x03bdfc0f7d88040cf2a65d79ba6fc71e0f680252,1000000000,0.1
0x03c172fc9a2fa3c6e418fba9d955ce6bcef5a94b,1187901069,0.1187901069
0x03c4a9b834511ea86032cfef4aa3fb6ad5425130,6126839937,0.6126839937
0x03c65500c94a1e98302426df7a392db429596ff2,7404920499,0.7404920499
0x03cdc580e7de9d805483773cd73f00e9c6b2d0a0,6637,0.0000006637
0x03d28e9424bc1d6567ea85715639324df29e5449,1074993057,0.1074993057
0x03dbc41358b50098d2cf2ec8a2b0bf649fa191c6,98890514339,9.8890514339
0x03e60209bfa52fb516830ba31d9dc9d21a57a3a2,2883088065768,288.3088065768
0x03ee03e23be71d5511aeb197869e73c732dc4208,10000000000,1
0x03f4a31ce29fe726d0d03c9281f1e94b4ffb8377,9000000000,0.9
0x03f98a0f1f730e92f5b14c05d6dbd934e9a127f9,19556682215,1.9556682215
0x040509d1168258496171ba8817500c46d6cdafca,81058165,0.0081058165
0x0405f77dc7aa1ecca1bef37575d1e27c44ee9012,599563,0.0000599563
0x040a58e44b0ad3108d089606a4e4d8adec6ff6dd,361051058,0.0361051058
0x0419226e1cc8005b77c402275ab9dc4c099bb6d6,2,0.0000000002
0x0419a7f969aaddacd52a3188d6837d7a75012566,830186598,0.0830186598
0x04261f3a4f4e244b80ed7e3d8b7ff28abd6c4dc9,2,0.0000000002
0x0436bfa5fe3653bdcf9053459b6f2e9ffc093306,105250631813,10.5250631813
0x043851795bbcbbd0345d3cf930bd943b609fad0f,79245420,0.007924542
0x043a0d9c60e1f48914c6cb05843931e54701d26c,1933637515,0.1933637515
0x043f4ab8b97d24154ea2f983176d2e96b1660be7,99356059,0.0099356059
0x04406fa3799f9b554392f0f3b639d73e32d25c5d,599446,0.0000599446
0x044da36e39b954546e4b728dc33f96617a40c4a2,2,0.0000000002
0x044f0ee0967d130f748d4a9879dcd5efae154f6b,599478,0.0000599478
0x044f7f32ffa2f8365b82d83015259848d504bd09,566,0.0000000566
0x0455206324a0dab213e5174c7bbf68569f88ec3c,6352516,0.0006352516
0x045e6dd96b82e9a05c131745d3ebc030a0c01ef8,20438,0.0000020438
0x046d79490142fd796b2d64cce94c26fbeff73a74,18150617819,1.8150617819
0x046e69e30389accf9e2ab33f5153b11737429943,9,0.0000000009
0x046f18bec7f015a4a2dfb292e22920c5c2b19736,92639238,0.0092639238
0x0473a13cb3088ebd0092ea137170508da3f7fb8c,1000000000,0.1
0x047ab4da42ae610d2d877e690766ae4488593ec1,774088156,0.0774088156
0x048bbaa7c33993f15c273ff219c1deecaa80988e,7,0.0000000007
0x048c6024a246b1570b185bdb01e5200bbef91fe6,3171816,0.0003171816
0x048d46198fda76b9d822774316b5a494b73bbd6f,95309359,0.0095309359
0x049004379140845ede3865d6d06552641453ffe6,990971816,0.0990971816
0x049cd4bfa52d280a6b6f52e45fdf8967924154bc,20977133301,2.0977133301
0x04a3272e72e5222fcb92f2bd2eb4b0eb32afa01e,6,0.0000000006
0x04a4949b6e9c4dcf7620dd758839ace3a76dd119,3,0.0000000003
0x04a839119e92a2773f9b6262ba3705dfa258e26d,5,0.0000000005
0x04b44849e66a266b62171aba25ff4909a7c51594,18661376,0.0018661376
0x04c07f5bc7b8e6e4773e32f974513067fc49865d,8,0.0000000008
0x04c24793bf9a16edd717d3d3b4849f0055f31f94,5344395,0.0005344395
0x04c3ce88bb03a6b3dda30deeff9cea3e83a56560,3817450734,0.3817450734
0x04ca84c094c85f6fdc8ab9a1b3f696e13cf1432e,3,0.0000000003
0x04cbd10a4c8e1ed65dea20152246bbc1b6b50a7f,1,0.0000000001
0x04d057713050e9adff362a4529052312d06924ce,563448867,0.0563448867
0x04d58d44cd35532cfb07f2542c5385387331e8d5,2683828174,0.2683828174
0x04d5a78e43e2ce0f8c1c0e00f542342f2bdc193f,2704,0.0000002704
0x04d8746afd0240f5dd15edd72a667c736f850df0,7537735631,0.7537735631
0x04decb31e5fcd3d0ec6f4dc3cd7188ae769cc20c,74,0.0000000074
0x04e192bbb0b308a6b917013ee617724f0e49fc33,8,0.0000000008
0x04e46bb6cb9b3c477cf2bcde4c00666473274d17,761892704814,76.1892704814
0x04f14d757539a365289bf3de4311d443675f4162,3,0.0000000003
0x04f6e00275c60ba405392fe4f10418660b96bf45,40499022,0.0040499022
0x05001838b582368e7f28f034cc4ac6f1f1c42417,248331455371,24.8331455371
0x050064ef5f7920c31f85c95d49715d4a01176e48,90971816,0.0090971816
0x0507e0e2a8e4e0899f3fb3b48f0324db3ee5e40e,19915994840,1.991599484
0x050e854bbb5d7c8ecfe9e972d7043d2c4e13707e,799045695,0.0799045695
0x051385a3a924cf497bea0e9ae030329ed147bda9,75092312,0.0075092312
0x05173affe3022e76896149d673c07976ac0230d8,7,0.0000000007
0x0519af06037a0e6331f593e082ef4946e07e9741,124190766256,12.4190766256
0x051a3190c9342211eb311723b23b8c7cbd7b5a5d,63,0.0000000063
0x05255cdc6116e3d090aa0ab9e38b8206435a8cb6,7,0.0000000007
0x052a50be31ebad333a05767925712b3d16682bc7,44943975487,4.4943975487
0x052bb01ba8a4d749e8b14f6c7b208ee60410cd07,5,0.0000000005
0x052bed3644ec92330f47182b8f147bae0b5571eb,51000073122,5.1000073122
0x053073cb4cdfd57a6f63ad833160af9b22c3c96b,2,0.0000000002
0x0533489006b3536099266f041e7d547e7fed44fc,973544974,0.0973544974
0x0535be3f20dc2bd4cd772f1454631c3b780497f1,7,0.0000000007
0x053916baf4afab008f74d1dab1167a6523cad8fc,8,0.0000000008
0x0539239d5db086bbef5d97b265dd6882605d5f14,71260,0.000007126
0x053989ee844ba92d34449e6aedf67c2dc539c65d,734836974636,73.4836974636
0x054152fd4cd33ee380298553e72984eec479e4cb,539059069,0.0539059069
0x05431cd62f011cb44ec803fe4ac96fac651ca494,74636872682,7.4636872682
0x054becf10c79afa4e60f75b187837be9fb83867d,7881943632,0.7881943632
0x05523aeb17b18c0b305b6823ddd42a65bc88c37e,95053121,0.0095053121
0x055473309b95792ead3fd6f058ed53c8376a3fe7,8300000000,0.83
0x055aec00dc22bfca3f2acf092148bddf218e1ac7,6741836269245,674.1836269245
0x0560d338cc84a4137dd154ca4e98b29dc39f1da8,9990971816,0.9990971816
0x0564e0abe9991606e08a6883b960d46e4186ec8b,3787350655,0.3787350655
0x0567d99a4420b8da0fd91c5ecba78955c04974f0,9811062837,0.9811062837
0x05682a10a7ff570e61ffc585042f3730f726c456,5825344611,0.5825344611
0x057b5657523eb952af0d98a05bb76a46d31ba049,8,0.0000000008
0x057d53953463871d9f7cc32d720c019ba556843c,599556,0.0000599556
0x057ed0c657ba55014e1f38b85cfe91cc0eeb9621,1358230203,0.1358230203
0x0580081dcd5e9284b5f1c3f7f209fcc2d86bfcdd,24018395083,2.4018395083
0x058e99e564c3a600bdea7f082aba09a877023e0e,413,0.0000000413
0x0597eb296efbb84ca64c843a7f80d7f8bff7d17d,318646,0.0000318646
0x05995bc5736707208ebdb18bc5be812668b525b2,3813739089160,381.373908916
0x059aedb9493788a2aeeabfd497f754a995b6485e,1106425769880,110.642576988
0x05a7eb929209f5c1f2f08dd087b64bb1beba99fe,3,0.0000000003
0x05b433ab843046ee51a6eeec0dcc60b3ec3be4f4,19007637761,1.9007637761
0x05c12b2927b4ff0efac4dfc0d007be62317ce2cf,15934293522,1.5934293522
0x05c2974d048d90ec5bfa124b6369396727b900fd,853494023564,85.3494023564
0x05c6959d997cde99d2f967367e5e9f1959ba9706,915448,0.0000915448
0x05d0054f4a8c4a31e8d629edea224f130b1462c8,6,0.0000000006
0x05d3a5e1d88b8525c4f096f78a40a8a14ff2034f,5081943632,0.5081943632
0x05d5b6ce9258d4fe47eb3b1a0bb33ca93407e37f,5544643614,0.5544643614
0x05d987577901933e6e6e11ddc8c3b3592addffc8,1461943632,0.1461943632
0x05dcaa0657a159291bdd5b4e2f0514df4fbc9fbf,851943632,0.0851943632
0x05e3f94b3424301d38a6e7e2f5224b6f07839d73,788,0.0000000788
0x05e57d77a6dd817eb088242b125787456974830b,6,0.0000000006
0x05e5a4f9365b7f42579142246cbd184da4963734,149537762073,14.9537762073
0x05e61ec6c762c031a7e2ad7434449a6d72d8d7a5,9977133301,0.9977133301
0x05e68c5f9281cc9c08113115be2a9ed1033b8b16,93769154,0.0093769154
0x05e818959c2aa4cd05edae9a099c38e7bdc377c6,4,0.0000000004
0x05f65d142e74a5d9ce04a69293f24e1357971bbf,4807735631,0.4807735631
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,393482128,0.0393482128
0x05ff20e4c72471ce95c332b983d7ebe37eebd118,77522960,0.007752296
0x05ffebcc3f261768a21bc0404931b2e4ea8dbb18,92826230,0.009282623
0x0607c59cb6b542c347b9816471a31d73950314dc,500768511,0.0500768511
0x0608bc8ba837f4fbc555876ab13fd899fe8f2a6f,47078014,0.0047078014
0x060ca4604fa777274f5a5c2e9639d3d28414af26,21900821727,2.1900821727
0x0611216ab8a07f7d9f7d3175daa82bfd2b49c312,6,0.0000000006
0x0614b57649dd353bcd2f44f47cbd680a62afb202,8,0.0000000008
0x0623dea772f0ff95eebb97171b04e1312dac1e39,69986114679,6.9986114679
0x0634d366c4a50af04aa07155121702b7aa63b314,2,0.0000000002
0x063e552c4823c0009b33675bab8ac2c8b26bdfdb,10000000000,1
0x0644995e9dc2dced1aa20dbf46cbde0b009a597e,12509679151,1.2509679151
0x064a768bb4e79f22ba0dcb3c5d2421ae32d51003,18782116263,1.8782116263
0x0651e9a26c92300d937e344c76f508817e20b16b,100971816,0.0100971816
0x0656cd5831f244de073bdc138c368b5b391bce27,267683,0.0000267683
0x065bcd151873f18be3550720ae731f7c271ee4f1,2333108390,0.233310839
0x0663b5d10a3f73f452ae1e94410210bb344796ff,2,0.0000000002
0x066591142784fd5d9a0cbfc5d1c440c773b77662,9973544974,0.9973544974
0x067431ae27672d34bc3990a039ba95feac415a1a,96361104,0.0096361104
0x0678e836c26abcfcd2b7e49559aa1a8b0f3ad36a,1060948089,0.1060948089
0x06796233708702a0b147a43eeb26fc7d8ad63311,19973544974,1.9973544974
0x068370684f37ea99cbd2a21a07d8e0b9add54ca1,19948290454,1.9948290454
